top - 16:47:42 up  7:10,  3 users,  load average: 0.00, 0.00, 0.00
Tasks: 196 total,   1 running, 195 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.1 us,  9.1 sy,  0.0 ni, 81.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3915.9 total,    323.7 free,   1755.4 used,   2117.5 buff/cache     
MiB Swap:   3742.0 total,   3742.0 free,      0.0 used.   2160.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1620 yahagi    20   0  426092  15224  13304 S   0.0   0.4   0:00.12 /usr/li+
   1626 yahagi    20   0  226752  61664  49760 S   0.0   1.5   0:00.37 /usr/bi+
   1667 yahagi    20   0  399372  10712   9048 S   0.0   0.3   0:00.64 /usr/li+
   1672 yahagi    20   0  320476   7464   6824 S   0.0   0.2   0:00.03 /usr/li+
   1673 yahagi    20   0  431856  30372  19048 S   0.0   0.8   0:15.13 /usr/li+
   1675 yahagi    20   0  320312   7304   6664 S   0.0   0.2   0:00.29 /usr/li+
   1695 yahagi    20   0  319784   6744   6104 S   0.0   0.2   0:00.17 /usr/li+
   1700 yahagi    20   0  319648   6780   6140 S   0.0   0.2   0:00.17 /usr/li+
   1705 yahagi    20   0  320616   7248   6480 S   0.0   0.2   0:00.17 /usr/li+
   1710 yahagi    20   0  399260   8216   7192 S   0.0   0.2   0:01.78 /usr/li+
   1725 yahagi    20   0  246784   7616   6976 S   0.0   0.2   0:00.49 /usr/li+
   1748 yahagi    20   0  230208   5728   5216 S   0.0   0.1   0:00.14 /usr/li+
   1766 yahagi    20   0  545896   9500   8092 S   0.0   0.2   0:00.32 /usr/li+
   1829 yahagi    39  19  688828  28580  19512 S   0.0   0.7   0:05.70 /usr/li+
   1839 yahagi    20   0 2529356  27140  22396 S   0.0   0.7   0:00.43 /usr/bi+
   1853 yahagi    20   0  634492  80392  64608 S   0.0   2.0   0:01.16 /usr/li+
   1894 yahagi    20   0  646052  14728  11788 S   0.0   0.4   0:01.40 /usr/li+
   1895 yahagi    20   0  277420  25288  18412 S   0.0   0.6   0:00.56 /usr/li+
   1901 yahagi    20   0 1207292 239048 119176 S   0.0   6.0   0:05.90 /usr/li+
   1911 yahagi    20   0  816252  98472  74420 S   0.0   2.5   0:00.87 /usr/li+
   1930 yahagi    20   0  428220  26988  20076 S   0.0   0.7   0:00.80 /usr/li+
   1979 yahagi    20   0  246268   6768   6256 S   0.0   0.2   0:00.06 /usr/li+
   2005 root      20   0   15268  10628   8836 S   0.0   0.3   0:00.10 sshd: y+
   2104 yahagi    20   0   15428   7024   4968 S   0.0   0.2   0:02.14 sshd: y+
   2105 yahagi    20   0   21116   5368   3704 S   0.0   0.1   0:01.71 bash -l
   2185 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
   2187 yahagi    20   0  544076  37456  29776 S   0.0   0.9   0:01.71 /usr/bi+
   2216 root      20   0   15268  10836   9044 S   0.0   0.3   0:00.08 sshd: y+
   2404 yahagi    20   0   15428   7156   5104 S   0.0   0.2   0:06.34 sshd: y+
   2405 yahagi    20   0   21232   5636   3844 S   0.0   0.1   0:02.30 bash -l
   2634 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 [psimon]
   2949 root      20   0  600132  42176  36412 S   0.0   1.1   0:06.80 /usr/li+
   2986 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
   6590 yahagi    20   0 1617712  23720  16168 S   0.0   0.6   0:00.33 /usr/bi+
   7486 root       0 -20       0      0      0 I   0.0   0.0   0:00.83 [kworke+
   7827 yahagi    20   0  324556   8920   7896 S   0.0   0.2   0:00.06 /usr/li+
   8033 root      20   0       0      0      0 I   0.0   0.0   0:00.42 [kworke+
   8090 yahagi    20   0 3330420 382624 188788 S   0.0   9.5   0:40.67 /snap/f+
   8214 yahagi    20   0  217584  49476  40644 S   0.0   1.2   0:00.10 /snap/f+
   8232 yahagi    20   0 2506556 136692  97328 S   0.0   3.4   0:03.03 /snap/f+
   8237 yahagi    20   0  350244  55944  45192 S   0.0   1.4   0:00.15 /snap/f+
   8579 yahagi    20   0 2451772  95216  74292 S   0.0   2.4   0:01.23 /snap/f+
   8808 yahagi    20   0  216236  47056  38352 S   0.0   1.2   0:00.13 /snap/f+
   8814 yahagi    20   0 2596080 197580 101456 S   0.0   4.9   0:08.80 /snap/f+
